MANUFACTURER;BRAND;ITEM_DESCRIPTION;FORMAT;ATTR1;ATTR2;ATTR3;CATEGORY;ITEM_CODE
"GRUPO AC MARCAS";"SANYTOL";"SANYTOL QUITAMANCHAS DESINFECTANTE POLVO BOT 450GR 3045206382007";"POLVO";"SAFE BLEACH";"FABRIC TREATMENT";"PRE LAVADOR";1;"3045206382007"
"DELTA PRONATURA";"DR.BECKMANN";"DR BECKMANN POLVO QUITA DESTINIDO CJ C/2 BOL 75GC/U=150GRS 4008455427614";"POLVO";"SAFE BLEACH";"FABRIC TREATMENT";"PRE LAVADOR";1;"4008455427614"
"DELTA PRONATURA";"DR.BECKMANN";"DR BECKMANN QUITAMANCHASINTENSO ROPABLANCAYCOLOR SACHET100GR 4008455457710";"POLVO";"SAFE BLEACH";"FABRIC TREATMENT";"PRE LAVADOR";1;"4008455457710"
"DELTA PRONATURA";"DR.BECKMANN";"DR BECKMANN JABON MAGICO QUITAMANCHAS BARRA 100 GR 4008455476711";"BARRA";"SAFE BLEACH";"FABRIC TREATMENT";"PRE LAVADOR";1;"4008455476711"
"DELTA PRONATURA";"DR.BECKMANN";"DR BECKMANN QUITAMANCHAS INTENSO ROPABLANCAYCOLOR SOBRE 80GR 4008455567013";"POLVO";"SAFE BLEACH";"FABRIC TREATMENT";"PRE LAVADOR";1;"4008455567013"
"INDS. ALEN";"CLORALEX";"CLORALEX ESFERAS ROPA COLOR BOTE 500GR NAL 7501025400989";"POLVO";"SAFE BLEACH";"FABRIC TREATMENT";"PRE LAVADOR";1;"7501025400989"
"INDS. ALEN";"CLORALEX";"CLORALEX ESFERAS ROPA DE COLOR QUITAMANCHAS BOTE 1000 GR 7501025400996";"POLVO";"SAFE BLEACH";"FABRIC TREATMENT";"ROPA COLOR";1;"7501025400996"
"INDS. ALEN";"CLORALEX";"CLORALEX  PODER OXIGENO ULTRAGEL QUITAMANCHAS BOLSA 450 ML 7501025401832";"GEL";"SAFE BLEACH";"FABRIC TREATMENT";"PRE LAVADOR";1;"7501025401832"
"INDS. ALEN";"CLORALEX";"CLORALEX PODER OXIGENO ULTRAGEL QUITAMANCHAS BOLSA 750 ML 7501025401849";"GEL";"SAFE BLEACH";"FABRIC TREATMENT";"PRE LAVADOR";1;"7501025401849"
"INDS. ALEN";"CLORALEX";"CLORALEX PODER  OXIGENO ULTRAGEL QUITAMANCHAS BOT 950 ML 7501025401856";"GEL";"SAFE BLEACH";"FABRIC TREATMENT";"PRE LAVADOR";1;"7501025401856"
"INDS. ALEN";"CLORALEX";"CLORALEX PODER OXIGENO  ULTRAGEL  QUITAMANCHAS BOT 1.5 LT 7501025401863";"GEL";"SAFE BLEACH";"FABRIC TREATMENT";"PRE LAVADOR";1;"7501025401863"
"INDS. ALEN";"CLORALEX";"CLORALEX  PODER VINAGRE ULTRAGEL QUITAMANCHAS BOLSA 450 ML 7501025401887";"GEL";"SAFE BLEACH";"FABRIC TREATMENT";"PRE LAVADOR";1;"7501025401887"
"INDS. ALEN";"CLORALEX";"CLORALEX PODER VINAGRE ULTRAGEL QUITAMANCHAS BOLSA 750 ML 7501025401894";"GEL";"SAFE BLEACH";"FABRIC TREATMENT";"PRE LAVADOR";1;"7501025401894"
"INDS. ALEN";"CLORALEX";"CLORALEX PODER  VINAGRE ULTRAGEL QUITAMANCHAS BOT 950 ML 7501025401900";"GEL";"SAFE BLEACH";"FABRIC TREATMENT";"PRE LAVADOR";1;"7501025401900"
"INDS. ALEN";"CLORALEX";"CLORALEX PODER VINAGRE ULTRAGEL  QUITAMANCHAS BOT 1.5 LT 7501025401917";"GEL";"SAFE BLEACH";"FABRIC TREATMENT";"PRE LAVADOR";1;"7501025401917"
"CHURCH & DWIGHT";"OXI CLEAN";"OXI CLEAN QUITAMANCHAS VERSATIL SOBRE 220 GR 7501080900134";"POLVO";"SAFE BLEACH";"FABRIC TREATMENT";"PRE LAVADOR";1;"7501080900134"
"CHURCH & DWIGHT";"OXI CLEAN";"OXI CLEAN QUITAMANCHAS VERSATIL SOBRE 420 GR 7501080900141";"POLVO";"SAFE BLEACH";"FABRIC TREATMENT";"PRE LAVADOR";1;"7501080900141"
"CHURCH & DWIGHT";"OXI CLEAN";"OXI CLEAN QUITAMANCHAS VERSATIL SOBRE 860 GR 7501080900158";"POLVO";"SAFE BLEACH";"FABRIC TREATMENT";"PRE LAVADOR";1;"7501080900158"
"CHURCH & DWIGHT";"OXI CLEAN";"OXI CLEAN QUITAMANCHAS VERSATIL SOBRE 110 GR 7501080900165";"POLVO";"SAFE BLEACH";"FABRIC TREATMENT";"PRE LAVADOR";1;"7501080900165"
"CHURCH & DWIGHT";"OXI CLEAN";"OXICLEAN GEL REMOVEDOR DE MANCHAS LIQ BOT 1.6 LT 7501080952386";"GEL";"SAFE BLEACH";"FABRIC TREATMENT";"PRE LAVADOR";1;"7501080952386"
"CHURCH & DWIGHT";"OXI CLEAN";"OXICLEAN POLVO BOTE 420 GR 7501080952973";"POLVO";"SAFE BLEACH";"FABRIC TREATMENT";"PRE LAVADOR";1;"7501080952973"
"CHURCH & DWIGHT";"OXI CLEAN";"OXICLEAN POLVO BOTE 900GR +300GR= 1200 GR 7501080952980";"POLVO";"SAFE BLEACH";"FABRIC TREATMENT";"PRE LAVADOR";1;"7501080952980"
"CHURCH & DWIGHT";"OXI CLEAN";"OXICLEAN POLVO BOTE 2.27 KG 7501080952997";"POLVO";"SAFE BLEACH";"FABRIC TREATMENT";"PRE LAVADOR";1;"7501080952997"
"CHURCH & DWIGHT";"OXI CLEAN";"OXI CLEAN ULTRA QUITAMANCHAS GEL BOL 200ML 7501080954786";"GEL";"SAFE BLEACH";"FABRIC TREATMENT";"PRE LAVADOR";1;"7501080954786"
"CHURCH & DWIGHT";"OXI CLEAN";"OXI CLEAN ULTRA QUITAMANCHAS GEL BOL 600ML 7501080954793";"GEL";"SAFE BLEACH";"FABRIC TREATMENT";"PRE LAVADOR";1;"7501080954793"
"CHURCH & DWIGHT";"OXI CLEAN";"OXI CLEAN QUITAMANCHAS BOTE 2.27GR C/G CUBETA 7501080955028";"POLVO";"SAFE BLEACH";"FABRIC TREATMENT";"OTR. TIPOS";1;"7501080955028"
"CHURCH & DWIGHT";"OXI CLEAN";"OXI CLEAN ULTRA QUITAMANCHAS GEL BOT PLAS 2LT 7501080955103";"GEL";"SAFE BLEACH";"FABRIC TREATMENT";"PRE LAVADOR";1;"7501080955103"
"CHURCH & DWIGHT";"OXI CLEAN";"OXI CLEAN QUITAMANCHAS VERSATIL SOBRE 140GR 7501080955530";"POLVO";"SAFE BLEACH";"FABRIC TREATMENT";"PRE LAVADOR";1;"7501080955530"
"CHURCH & DWIGHT";"OXI CLEAN";"OXI CLEAN QUITAMANCHASVERSATIL CAJA 2.770GR C/G 500GR=3270GR 7501080955554";"POLVO";"SAFE BLEACH";"FABRIC TREATMENT";"OTR. TIPOS";1;"7501080955554"
"CHURCH & DWIGHT";"OXI CLEAN";"OXICLEAN QUITAMAN VERSATIL BTE1.20KG C/G A&H DETER LIQ 900ML 7501080955561BP1";"POLVO";"SAFE BLEACH";"FABRIC TREATMENT";"OTR. TIPOS";1;"7501080955561BP1"
"CHURCH & DWIGHT";"OXI CLEAN";"OXICLEAN ULT BOL200MG/CARM&HLIMPFRESBT4.65LG/CMMVERS SOB140G 7501080955721BP2";"GEL";"SAFE BLEACH";"FABRIC TREATMENT";"OTR. TIPOS";1;"7501080955721BP2"
"CHURCH & DWIGHT";"OXI CLEAN";"OXICLEAN VERS SOB140GG/CARM&HLIMPFRESBT4.65LC/GMMULT BOL200M 7501080955721BP3";"POLVO";"SAFE BLEACH";"FABRIC TREATMENT";"OTR. TIPOS";1;"7501080955721BP3"
"CHURCH & DWIGHT";"OXI CLEAN";"OXICLEAN ULT BOL900MLG/CARM&HAMMER LIMPIEZA FRESCA BOT4.65LT 7501080955776BP2";"GEL";"SAFE BLEACH";"FABRIC TREATMENT";"OTR. TIPOS";1;"7501080955776BP2"
"CHURCH & DWIGHT";"OXI CLEAN";"OXICLEAN ULT BOL600MLG/CARM&HAMMER LIMPIEZA FLORAL BOT4.65LT 7501080955783BP2";"GEL";"SAFE BLEACH";"FABRIC TREATMENT";"OTR. TIPOS";1;"7501080955783BP2"
"CHURCH & DWIGHT";"OXI CLEAN";"OXICLEANQUITAMANVERSATILBOTE1.2KGC/GSINMARCACEPILLOP/LAV1PZA 7501080955899BP1";"POLVO";"SAFE BLEACH";"FABRIC TREATMENT";"PRE LAVADOR";1;"7501080955899BP1"
"CHURCH & DWIGHT";"OXI CLEAN";"OXICLEAN QUITAM VERSATIL PREC/ESP ENV.PLAS 2 420GRC/U=840GR 7502271940007";"POLVO";"SAFE BLEACH";"FABRIC TREATMENT";"OTR. TIPOS";1;"7502271940007"
"DELTA PRONATURA";"DR.BECKMANN";"DR BECKMANN OXI MAGIC PLUS QUITAMANCHAS BOTE 1KG 7502275145897";"POLVO";"SAFE BLEACH";"FABRIC TREATMENT";"PRE LAVADOR";1;"7502275145897"
"CLOROX";"CLOROX";"CLOROX ROPA COLORES ULTRA QUITAMANCHAS BOL 90GR 7702137007145";"POLVO";"SAFE BLEACH";"FABRIC TREATMENT";"ROPA COLOR";1;"7702137007145"
"CLOROX";"CLOROX";"CLOROX ROPA BLANCOS ULTRA QUITAMANCHAS BOL 450GR 7702137007152";"POLVO";"SAFE BLEACH";"FABRIC TREATMENT";"BLANCO";1;"7702137007152"
"CLOROX";"CLOROX";"CLOROX ROPA COLORES ULTRA QUITAMANCHAS BOL 450GR 7702137007169";"POLVO";"SAFE BLEACH";"FABRIC TREATMENT";"PRE LAVADOR";1;"7702137007169"
"CLOROX";"CLOROX";"CLOROX ROPA BLANCOS ULTRA QUITAMANCHAS BOL 900GR 7702137007176";"POLVO";"SAFE BLEACH";"FABRIC TREATMENT";"BLANCO";1;"7702137007176"
"CLOROX";"CLOROX";"CLOROX ROPA COLORES ULTRA QUITAMANCHAS BOL 900GR 7702137007183";"POLVO";"SAFE BLEACH";"FABRIC TREATMENT";"PRE LAVADOR";1;"7702137007183"
"RECKITT";"VANISH PODER 02";"VANISH SUPER BARRA ROSA 20%MAS=81GR 7501058712745";"BARRA";"SAFE BLEACH";"FABRIC TREATMENT";"ROSA";1;"7501058712745"
"RECKITT";"VANISH";"VANISH OXI ACTION QUITAMANCHAS P/ROPA BOTE 240G 7501058712813";"POLVO";"SAFE BLEACH";"FABRIC TREATMENT";"ROSA";1;"7501058712813"
"RECKITT";"VANISH";"VANISH OXI ACTION ROSA QUITA MANCHAS PARA LA ROPA BOT 150GR 7501058713780";"POLVO";"SAFE BLEACH";"FABRIC TREATMENT";"ROSA";1;"7501058713780"
"RECKITT";"VANISH";"VANISH SUPER BARRA QUITA MANCHAS 68GR 7501058714596";"BARRA";"SAFE BLEACH";"FABRIC TREATMENT";"ROSA";1;"7501058714596"
"RECKITT";"VANISH PODER 02";"VANISH OXI ACTION ROSA QUITA MANCHAS PACK 2 BOT 450GR C/U 7501058714909";"POLVO";"SAFE BLEACH";"FABRIC TREATMENT";"ROSA";1;"7501058714909"
"RECKITT";"VANISH PODER 02";"VANISH CRISTAL WHITE SUPER BARRA 20%MAS=81G 7501058714954";"BARRA";"SAFE BLEACH";"FABRIC TREATMENT";"BLANCO";1;"7501058714954"
